Title,Url,Date
臺灣證券交易所對聯鈞光電股份有限公司（公司代號：3450）違反重大訊息規定，處以新台幣3萬元違約金,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69c37647f019c46edf7740006,1150210
"上週外資在集中市場賣超1,085.64億元，賣超友達7.76萬張最多，另買超凱基金9.60萬張最多",https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69c37647f019c4109d9e90002,1150209
國泰大和日本不動產收息ETF（009817）正式掛牌，臺日資本市場合作持續深化,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c327b6e0b01a8,1150206
本週發行量加權股價指數跌幅約為0.88%，上市股票總市值達103.62兆元,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c3258a78d01a4,1150206
2026年1月集中市場相關數據,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c3239563101a0,1150206
臺灣證券交易所有價證券上市審議委員會審議通過聚恆科技股份有限公司初次申請創新板股票上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c32272458019c,1150206
臺灣證券交易所對麗嬰房股份有限公司（公司代號：2911）違反重大訊息規定，處以新臺幣5萬元違約金,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c2d30d9970170,1150205
國泰投信募集發行之「國泰大和日本不動產收息ETF」，自115年2月6日起掛牌上市，為我國第二檔臺日跨境連結式ETF,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c283ecbdd015c,1150204
非投等債巨擘強勢出擊！聯博優選全球非投資等級債券主動式ETF (00984D)正式掛牌 領航全球債市配置新戰略,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c283853830158,1150204
微程式資訊股份有限公司自本（115）年2月5日起得為融資融券交易,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c27c3e4740150,1150204
奧義賽博科技股份有限公司CyCraft Technology Corporation (簡稱：奧義賽博-KY創，證券代號:7823）股票自115年2月5日於創新板第一上市開始買賣,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c27f235000154,1150204
臺灣證券交易所訂於2月6日召開有價證券上市審議委員會第880次會議，將審議聚恆科技(股)公司之申請股票創新板上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c27ae0428014c,1150204
臺灣證券交易所有價證券上市審議委員會審議通過華德動能科技股份有限公司初次申請創新板股票上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c239e10430145,1150203
臺灣證券交易所有價證券上市審議委員會審議通過基龍米克斯生物科技股份有限公司初次申請創新板股票上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c22f2775b013d,1150203
主動選債靈活布局！聯博投信募集發行之「聯博優選全球非投資等級債券主動式ETF」，自115年2月4日起掛牌上市,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c1dd158fd012d,1150202
上週外資在集中市場買超174.82億元，買超力積電9.30萬張最多，另賣超群創7.66萬張最多,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c1d4d87c2011a,1150202
證交所舉辦「114年度權證發行人及證券經紀商交易獎勵活動」頒獎10家權證發行人及證券經紀商營業據點,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019c0eabb18f010c,1150130
